,Admission into Teacher Preparation (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation in Reading Instruction ( (Delivering Well Prepared Teachers Policy),Elementary Teacher Preparation in Mathematics (Delivering Well Prepared Teachers Policy),Middle School Teacher Preparation (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation (Delivering Well Prepared Teachers Policy),Secondary Teacher Preparation in Science (Delivering Well Prepared Teachers Policy),Special Education Teacher Preparation (Delivering Well Prepared Teachers Policy),Assessing Professional Knowledge (Delivering Well Prepared Teachers Policy),Student Teaching (Delivering Well Prepared Teachers Policy),Teacher Preparation Program Accountability (Delivering Well Prepared Teachers Policy),Alternate Route Eligibility (Expanding the Pool of Teachers Policy),Alternate Route Preparation (Expanding the Pool of Teachers Policy),Alternate Route Usage and Providers (Expanding the Pool of Teachers Policy),Part-Time Teaching Licenses (Expanding the Pool of Teachers Policy),Licensure Reciprocity (Expanding the Pool of Teachers Policy),State Data Systems (Identifying Effective Teachers Policy),Evaluation of Effectiveness (Identifying Effective Teachers Policy),Frequency of Evaluations (Identifying Effective Teachers Policy),Tenure (Identifying Effective Teachers Policy),Licensure Advancement (Identifying Effective Teachers Policy),Equitable Distribution (Identifying Effective Teachers Policy),Induction (Retaining Effective Teachers Policy),Professional Development (Retaining Effective Teachers Policy),Pay Scales (Retaining Effective Teachers Policy),Compensation for Prior Work Experience (Retaining Effective Teachers Policy),Differential Pay (Retaining Effective Teachers Policy),Performance Pay (Retaining Effective Teachers Policy),Extended Emergency Licenses (Exiting Ineffective Teachers Policy),Dismissal for Poor Performance (Exiting Ineffective Teachers Policy),Reductions in Force (Exiting Ineffective Teachers Policy)
DE,6.0,3.0,2.0,4.0,5.0,4.0,1.0,1.0,1.0,3.0,4.0,3.0,6.0,3.0,1.0,4.0,4.0,5.0,5.0,4.0,3.0,2.0,4.0,5.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0
RI,6.0,4.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,4.0,4.0,3.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,6.0,2.0,4.0,5.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0
TX,5.0,4.0,4.0,5.0,5.0,4.0,1.0,4.0,5.0,3.0,4.0,3.0,2.0,5.0,4.0,6.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,5.0
MS,4.0,2.0,3.0,2.0,6.0,3.0,1.0,1.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,2.0,5.0,6.0,1.0,1.0
NJ,4.0,4.0,1.0,4.0,6.0,4.0,5.0,3.0,1.0,3.0,2.0,4.0,6.0,4.0,1.0,1.0,3.0,4.0,5.0,4.0,1.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,6.0,3.0,1.0
UT,4.0,4.0,1.0,4.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,2.0,3.0,4.0,4.0,5.0,1.0,3.0,5.0,4.0,2.0,5.0
CT,3.0,5.0,6.0,4.0,5.0,4.0,1.0,2.0,3.0,4.0,1.0,4.0,4.0,5.0,1.0,2.0,4.0,5.0,4.0,6.0,1.0,3.0,4.0,5.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0
GA,3.0,3.0,4.0,2.0,6.0,6.0,3.0,1.0,1.0,3.0,4.0,2.0,5.0,5.0,6.0,3.0,4.0,5.0,4.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,6.0,5.0,4.0,3.0,5.0
HI,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,5.0,5.0,4.0,1.0,2.0,5.0,3.0,3.0,2.0,3.0,5.0,1.0,4.0,1.0
IN,3.0,6.0,5.0,5.0,5.0,6.0,5.0,1.0,5.0,2.0,3.0,3.0,2.0,5.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0,5.0,1.0,3.0,6.0,1.0,1.0,6.0,,5.0,6.0
KY,3.0,4.0,1.0,5.0,5.0,4.0,5.0,1.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,5.0,3.0,4.0,1.0,1.0
NC,3.0,3.0,4.0,5.0,4.0,2.0,1.0,2.0,4.0,3.0,4.0,2.0,1.0,5.0,1.0,5.0,4.0,5.0,4.0,3.0,1.0,5.0,5.0,6.0,3.0,6.0,3.0,1.0,1.0,2.0,1.0
SC,3.0,3.0,1.0,4.0,6.0,4.0,1.0,1.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,6.0,5.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0
TN,3.0,1.0,5.0,2.0,4.0,6.0,5.0,2.0,5.0,6.0,4.0,3.0,2.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,2.0,3.0,3.0,3.0,1.0,5.0,5.0,1.0,4.0,5.0
WA,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,4.0,3.0,5.0,2.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,4.0
WV,3.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0
WI,3.0,1.0,5.0,1.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,3.0,5.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0
AL,2.0,4.0,5.0,4.0,5.0,4.0,1.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,1.0,6.0,3.0,2.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
AR,2.0,4.0,3.0,5.0,5.0,4.0,4.0,1.0,5.0,3.0,1.0,4.0,5.0,3.0,5.0,2.0,4.0,3.0,2.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,4.0,3.0,1.0
